[Sat Sep 08 12:41:47 2012] [crit] [client 127.0.0.1] (13)Permission denied: /home/pasha/webdevelop/mage_forpix/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable
[Sat Sep 08 12:41:47 2012] [crit] [client 127.0.0.1] (13)Permission denied: /home/pasha/webdevelop/mage_forpix/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable
[Sat Sep 08 12:43:05 2012] [error] [client 127.0.0.1] client denied by server configuration: /home/pasha/webdevelop/mage_forpix/app/etc/local.xml
[Sun Sep 09 22:40:19 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ',' in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 73, referer: http://forpix.loc/singup/index/edit/img/64/
[Thu Sep 13 11:13:38 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function getBaseDir() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 82, referer: http://forpix.loc/singup/index/edit/img/80/
[Thu Sep 13 11:45:46 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transliterate() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 39, referer: http://forpix.loc/singup/index/account/
[Thu Sep 13 11:46:44 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transliterate() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 38, referer: http://forpix.loc/singup/index/account/
[Thu Sep 13 11:48:32 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transName() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 38, referer: http://forpix.loc/singup/index/account/
[Thu Sep 13 11:49:49 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transName() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 38, referer: http://forpix.loc/singup/index/account/
[Fri Sep 14 09:41:22 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getPost() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 86, referer: http://forpix.loc/singup/index/account/
[Fri Sep 14 16:52:28 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:54:34 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:55:52 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:56:00 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:58:10 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:58:47 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined method Wao_Singup_IndexController::getLayou22t() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:59:06 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:59:12 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:59:43 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 16:59:57 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:00:03 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:01:24 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:02 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:11 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:13 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:14 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:15 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:15 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:15 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39, referer: http://forpix.loc/singup/
[Fri Sep 14 17:11:29 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:11:37 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:14:45 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:14:56 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:15:09 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
